topic;answerID;;title;IT;ES;EN;DE;content;IT;ES;EN;DE
advice;;;;;;;;;;;;
death;;;;;;;;;;;;
faith;;1;;;De Santo Tomas de Aquino;From Saint Thomas Aquinas;;;;Para alguien que tiene fe, no es necesaria ninguna explicación. Para aquel sin fe, no hay explicación posible.;To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.;
family;;;;;;;;;;;;
forgiveness;;;;;;;;;;;;
grace;p_benito;1;;;Oración a San Benito;;;;;Señor Dios Nuestro,que hiciste al abad Benito,esclarecido maestro del Divino Servicio,concédeme por su intercesión la gracia que te pido. También te pido,que prefiriéndote a a ti sobre todos los lujos,avancemos por la senda de tus mandamientos ,con el corazón contrito y rezando,y trabajando con amor como él hizo. Por Cristo Nuestro Señor. Amén.;;
gratitude;popeGratitude;1;;;Palabras de Papa Francisco;;;;;La gratuidad humana es la levadura de la accio?n de los voluntarios, que son tan importantes en el sector socio-sanitario y que viven de manera elocuente la espiritualidad del Buen Samaritano.;;
happiness;;;;;;;;;;;;
health;p_lucas;1;;;Oración a San Lucas;;;;;Oh Dios, que sanas las enfermedades de tu pueblo, y que llamaste a Lucas  el médico amado, para que fuese uno de tus evangelistas, Concédenos que, en la saludable doctrina de tu Palabra transmitida por él, para todas tus dolencias por Jesucristo  nuestro Señor, Amén;;
help;;;;;;;;;;;;
honesty;;;;;;;;;;;;
hope;;;;;;;;;;;;
mercy;;;;;;;;;;;;
peace;;;;;;;;;;;;
sick;;1;;Dal libro dell'Esodo.  ;Del Éxodo.;From Exodus;;;Servirete al Signore, vostro Dio. Egli benedirà il tuo pane e la tua acqua. Terrò lontana da te la malattia.; Adora al SEÑOR tu Dios, y él bendecirá tu pan y tu agua. Yo apartaré de ustedes toda enfermedad.;You shall serve the LORD your God, and he will bless your bread and your water. He will take sickness away from you;Aus Exodus. Und ihr sollt dem HERRN, eurem Gott, dienen: So wird er dein Brot und dein Wasser segnen, und ich werde alle Krankheit aus deiner Mitte entfernen.
sick;;1;;;;;;;Preghiamo.  Guariscimi, Signore, per il potere delle tue piaghe gloriose, per la tua croce, per il tuo Preziosissimo Sangue.;;;
sin;;;;;;;;;;;;
tired;;;;;;;;;;;;
wealth;;;;;;;;;;;;
wish;;;;;;;;;;;;
wish;;;;;;;;;;;;
work;;;;;;;;;;;;
worry;;1;;Dal Vangelo, secondo Matteo. ;Del Gospel, según Mateo 3:34. ;From the Gospel according to Matthew. ;Aus dem Matthäusevangelium.;;Non affannarti per il domani, perché il domani avrà già le sue inquietudini. A ciascun giorno basta la sua pena.;no se angustien por el mañana, el cual tendrá sus propios afanes. Cada día tiene ya sus problemas;Do not worry about tomorrow, for tomorrow will worry about itself. Each day has enough trouble of its own.;Darum sorgt nicht für morgen, denn der morgige Tag wird für das Seine sorgen. Es ist genug, dass jeder Tag seine eigene Plage hat.
worry;;1;;;;Matthew 6:25;;;;No andéis preocupados por vuestra vida, qué comeréis, ni por vuestro cuerpo, con qué os vestiréis. ¿No vale más la vida que el alimento, y el cuerpo más que el vestido?;"Look at the birds of the air; they do not sow or reap or store away in barns, and yet your heavenly Father feeds them. Are you not much more valuable than they? Can any one of you by worrying add a single hour to your life?";
worry;;1;;;;Luke 12:25;;;;¿quién de vosotros puede, por más que se preocupe, añadir un codo a la medida de su vida?;Who of you by worrying can add a single hour to your life?;
