KeywordName;NLanguage (0=it-IT, 1=es-PE, 2=en-GB, 3=de-DE);LanguageID;Words;;;;;
alexa;0;it-IT;alexa;;;;;
alexa;1;es-PE;alexa;;;;;
alexa;2;en-GB;alexa;;;;;
alexa;3;de-DE;alexa;;;;;
bible;0;it-IT;la bibbia;passo della bibbia;;;;
bible;1;es-PE;la biblia;versículo de la Biblia;;;;
bible;2;en-GB;the bible;verse from the Bible;;;;
bible;3;de-DE;;;;;;
bye;0;it-IT;arrivederci;devo andare;ti saluto;vado via;;
bye;1;es-PE;hasta luego;tengo que irme;saludos;me voy;adiós;
bye;2;en-GB;bye ;goodbye;bye bye;i have to go;;
bye;3;de-DE;auf wiedersehen;ich muss gehen;wir sehen uns;bis bald;;
day;0;it-IT;giorno è oggi;oggi che giorno;santo di oggi;santo del giorno;;
day;1;es-PE;día es hoy;santo de hoy;santo del día;;;
day;2;en-GB;what day;day is today;saint of today;saint of the day;;
day;3;de-DE;namenstag;kalendartag;tag ist heute;welcher tag;heiliger des tages;heutiger heiliger
francis;0;it-IT;san francesco;;;;;
francis;1;es-PE;san francisco;;;;;
francis;2;en-GB;saint francis;;;;;
francis;3;de-DE;heiliger franziskus;;;;;
google;0;it-IT;google;;;;;
google;1;es-PE;google;;;;;
google;2;en-GB;google;;;;;
google;3;de-DE;google;;;;;
hi;0;it-IT;ciao;buongiorno;;;;
hi;1;es-PE;hola;buenos días;buenas tardes;;;
hi;2;en-GB;hello;good morning;good afternoon;good evening;;
hi;3;de-DE;guten tag;guten morgen;guten abend;;;
how;0;it-IT;come stai;come va;;;;
how;1;es-PE;cómo estás;;;;;
how;2;en-GB;how are you;;;;;
how;3;de-DE;wie geht es dir;;;;;
myname;0;it-IT;mi chiamo;;;;;
myname;1;es-PE;me llamo;;;;;
myname;2;en-GB;my name is;;;;;
myname;3;de-DE;ich heiße;;;;;
parable;0;it-IT;parabola;parabole;;;;
parable;1;es-PE;parabola;parabolas;;;;
parable;2;en-GB;parable;parables;;;;
parable;3;de-DE;;;;;;
pray;0;it-IT;preghiamo;;;;;
pray;1;es-PE;recemos;;;;;
pray;2;en-GB;let's pray;shall we pray;;;;
pray;3;de-DE;lass uns beten;;;;;
problem;0;it-IT;ho un problema;problema;;;;
problem;1;es-PE;tengo un problema;problema;;;;
problem;2;en-GB;i have a problem;i've got a problem;problem;;;
problem;3;de-DE;Ich habe ein problem;ein problem;;;;
santo;0;it-IT;santo;santou;san to;;;
santo;1;es-PE;santo;santou;san to;;;
santo;2;en-GB;santo;santou;san to;;;
santo;3;de-DE;santo;santou;san to;;;
sick;0;it-IT;mi sento male;non mi sento bene;sto un po' male;;;
sick;1;es-PE;estoy enfermo;estoy enferma;me siento mal;un poco mal;no me siento bien;
sick;2;en-GB;feeling sick;feeling ill;not feeling well;;;
sick;3;de-DE;ich fühle mich krank;krank fühlen;;;;
siri;0;it-IT;siri;;;;;
siri;1;es-PE;siri;;;;;
siri;2;en-GB;siri;;;;;
siri;3;de-DE;siri;;;;;
thanks;0;it-IT;grazie;;;;;
thanks;1;es-PE;gracias;;;;;
thanks;2;en-GB;thanks;thank you;;;;
thanks;3;de-DE;danke;viel dank;;;;
wish;0;it-IT;desiderio;vorrei tanto;desidero;;;
wish;1;es-PE;deseo;me gustaría;quisiera mucho;;;
wish;2;en-GB;i wish;i desire;i really wish;;;
wish;3;de-DE;ich wünsche;ich sehne mich;sehnsucht;wunsch;;
worry;0;it-IT;sono preoccupato;sono preoccupata;;;;
worry;1;es-PE;estoy preocupado;estoy preocupada;;;;
worry;2;en-GB;I'm worried;I am worried;;;;
worry;3;de-DE;ich mache mir sorgen;dein name;;;;
yourname;0;it-IT;come ti chiami;il tuo nome;;;;
yourname;1;es-PE;cómo te llamas;tu nombre;;;;
yourname;2;en-GB;your name;;;;;
yourname;3;de-DE;wie heißt du;dein name;;;;
